fsq_id,latitude,longitude,category_group
1,40.659104,-73.966131,restaurants
2,40.665707,-73.98237,restaurants
3,40.67527,-73.96026,bars_&_clubs
4,40.675147,-73.96684,bars_&_clubs
5,40.66775,-73.98129,restaurants
6,40.672373,-73.95775,bars_&_clubs
7,40.679882,-73.965148,restaurants
8,40.594639,-73.981354,restaurants
9,40.680664,-73.968144,retail_&_shopping
10,40.679692,-73.982193,bars_&_clubs
11,40.678538,-73.986989,restaurants
12,40.673897,-73.999105,bars_&_clubs
13,40.682219,-73.986435,cultural
14,40.689488,-73.972389,restaurants
15,40.676084,-73.980046,entertainment_&_leisure
16,40.67372,-73.991728,bars_&_clubs
17,40.6882,-73.986539,restaurants
18,40.688595,-73.941757,restaurants
19,40.677299,-74.018646,bars_&_clubs
20,40.68875,-73.9921,restaurants
21,40.688551,-73.983543,restaurants
22,40.684362,-73.996857,restaurants
23,40.6768,-74.013218,retail_&_shopping
24,40.697725,-73.926923,restaurants
25,40.677519,-74.01848,restaurants
26,40.668838,-73.984908,entertainment_&_leisure
27,40.677969,-73.996038,restaurants
28,40.690626,-73.996493,restaurants
29,40.686452,-73.98538,restaurants
30,40.690308,-73.996306,restaurants
31,40.703297,-73.918103,restaurants
32,40.678359,-73.96365,restaurants
33,40.690159,-73.981904,retail_&_shopping
34,40.687975,-73.992855,restaurants
35,40.714348,-73.936501,bars_&_clubs
36,40.715006,-73.958304,restaurants
37,40.716151,-73.963848,restaurants
38,40.708155,-73.940236,bars_&_clubs
39,40.708769,-73.925248,restaurants
40,40.715851,-73.966978,bars_&_clubs
41,40.709151,-73.937263,bars_&_clubs
42,40.698431,-73.993005,restaurants
43,40.709803,-73.951208,restaurants
44,40.689395,-73.986237,restaurants
45,40.718677,-73.948101,bars_&_clubs
46,40.71202,-73.950988,entertainment_&_leisure
47,40.709898,-73.962509,restaurants
48,40.655407,-74.01106,restaurants
49,40.716073,-73.964761,restaurants
50,40.700471,-73.987369,bars_&_clubs
51,40.718027,-73.950215,bars_&_clubs
52,40.725659,-73.945139,restaurants
53,40.713948,-73.955877,bars_&_clubs
54,40.701629,-73.986411,restaurants
55,40.689613,-73.988121,restaurants
56,40.726112,-73.952403,restaurants
57,40.676000194096986,-74.01420593261717,restaurants
58,40.727878,-73.956967,restaurants
59,40.73241,-73.954915,retail_&_shopping
60,40.656034,-74.006414,restaurants
61,40.724697,-73.954924,restaurants
62,40.680734,-73.949481,restaurants
63,40.723244,-73.952773,entertainment_&_leisure
64,40.713913,-73.952806,bars_&_clubs
65,40.72835560854128,-73.9571502839267,restaurants
66,40.72968,-73.958181,restaurants
67,40.731406,-73.958151,bars_&_clubs
68,40.575307,-73.981426,restaurants
69,40.733967,-73.955194,restaurants
70,40.713848,-73.949182,restaurants
71,40.71497,-73.951581,restaurants
72,40.692513,-73.98457,restaurants
73,40.722314,-73.959285,restaurants
74,40.578254,-73.960043,retail_&_shopping
75,40.713963,-73.948924,entertainment_&_leisure
76,40.716991,-73.954671,bars_&_clubs
77,40.732009,-73.959834,retail_&_shopping
78,40.632025,-74.012877,restaurants
79,40.632309,-73.948625,restaurants
80,40.728843,-73.957179,bars_&_clubs
81,40.604332,-73.971907,restaurants
82,40.688004,-73.979857,restaurants
83,40.677357,-73.972857,entertainment_&_leisure
84,40.669575,-73.979574,restaurants
85,40.599278,-73.989024,restaurants
86,40.683659,-73.975021,restaurants
87,40.598084,-73.961462,restaurants
88,40.725783,-73.940516,restaurants
89,40.726149,-73.940923,restaurants
90,40.667789,-73.983821,bars_&_clubs
91,40.707092,-73.921388,bars_&_clubs
92,40.719174,-73.961739,bars_&_clubs
93,40.713145,-73.957316,bars_&_clubs
94,40.68302,-73.940584,bars_&_clubs
95,40.729689,-73.957823,bars_&_clubs
96,40.708816,-73.957847,bars_&_clubs
97,40.681329,-73.97746,bars_&_clubs
98,40.67792,-73.985918,bars_&_clubs
99,40.697965,-73.928023,bars_&_clubs
100,40.687063,-73.974761,restaurants
101,40.711047,-73.965134,bars_&_clubs
102,40.710668,-73.922789,bars_&_clubs
103,40.67905,-73.958007,entertainment_&_leisure
104,40.707903,-73.955717,restaurants
105,40.711122,-73.966359,bars_&_clubs
106,40.678022,-73.982172,bars_&_clubs
107,40.720951,-73.957835,bars_&_clubs
108,40.711374,-73.963008,bars_&_clubs
109,40.712841,-73.9666,bars_&_clubs
110,40.722301,-73.957756,bars_&_clubs
111,40.691568,-73.951554,bars_&_clubs
112,40.647535,-73.915042,bars_&_clubs
113,40.630225,-73.947978,bars_&_clubs
114,40.641924,-73.929515,bars_&_clubs
115,40.651745,-73.933026,bars_&_clubs
116,40.649726,-73.929942,bars_&_clubs
117,40.646666,-73.977721,bars_&_clubs
118,40.610772,-73.9623,bars_&_clubs
119,40.663945,-73.95446,bars_&_clubs
120,40.608054,-73.973212,bars_&_clubs
121,40.605122,-73.972097,bars_&_clubs
122,40.600741,-73.94071,bars_&_clubs
123,40.624073,-73.994309,bars_&_clubs
124,40.675655,-73.955958,bars_&_clubs
125,40.661724,-73.992826,bars_&_clubs
126,40.678533,-73.947128,bars_&_clubs
127,40.67811,-73.938739,bars_&_clubs
128,40.679212,-73.949946,bars_&_clubs
129,40.670602,-73.985457,bars_&_clubs
130,40.673855,-73.98275,bars_&_clubs
131,40.658656,-73.897938,bars_&_clubs
132,40.678708,-73.924371,bars_&_clubs
133,40.65327,-74.012327,bars_&_clubs
134,40.631191,-74.021689,bars_&_clubs
135,40.675098,-73.901909,bars_&_clubs
136,40.691621,-73.9516,bars_&_clubs
137,40.620179,-74.024429,bars_&_clubs
138,40.675627,-73.889981,bars_&_clubs
139,40.694737,-73.929777,bars_&_clubs
140,40.696024,-73.934101,restaurants
141,40.682352,-74.007333,bars_&_clubs
142,40.700264,-73.946958,entertainment_&_leisure
143,40.696158,-73.904615,bars_&_clubs
144,40.707944,-73.946118,bars_&_clubs
145,40.708428,-73.938064,bars_&_clubs
146,40.708277,-73.923484,bars_&_clubs
147,40.710105,-73.933586,bars_&_clubs
148,40.71153,-73.959217,bars_&_clubs
149,40.71549,-73.9341,bars_&_clubs
150,40.717431,-73.958354,bars_&_clubs
151,40.717399,-73.96359,bars_&_clubs
152,40.72675,-73.952777,bars_&_clubs
153,40.726449,-73.937792,bars_&_clubs
154,40.731138,-73.954081,bars_&_clubs
155,40.627757,-73.92741,bars_&_clubs
156,40.599729,-73.974369,entertainment_&_leisure
157,40.65855,-73.996581,bars_&_clubs
158,40.686186,-73.973287,bars_&_clubs
159,40.694187,-73.948383,bars_&_clubs
160,40.709925,-73.962734,bars_&_clubs
161,40.711412,-73.947517,bars_&_clubs
162,40.714264,-73.955788,bars_&_clubs
163,40.715025,-73.95154,bars_&_clubs
164,40.715631,-73.949032,bars_&_clubs
165,40.656818,-73.968963,landmarks
166,40.660798,-73.965281,landmarks
167,40.660706,-73.968678,landmarks
168,40.661865,-73.969682,parks_&_outdoor
169,40.666325,-73.96208,parks_&_outdoor
170,40.66851648455534,-73.9645478253737,landmarks
171,40.668798,-73.970431,landmarks
172,40.669439,-73.962607,parks_&_outdoor
173,40.66762,-73.962101,landmarks
174,40.673187,-73.967549,parks_&_outdoor
175,40.660952,-73.963543,parks_&_outdoor
176,40.66261,-73.972022,parks_&_outdoor
177,40.673564,-73.94345,parks_&_outdoor
178,40.663415,-73.978156,parks_&_outdoor
179,40.668856,-73.968253,parks_&_outdoor
180,40.665589,-73.971483,parks_&_outdoor
181,40.672204,-73.983994,parks_&_outdoor
182,40.67664,-73.965459,parks_&_outdoor
183,40.679693,-73.984156,entertainment_&_leisure
184,40.68842,-73.966395,parks_&_outdoor
185,40.69177,-73.964125,cultural
186,40.69177563832657,-73.97558212280273,parks_&_outdoor
187,40.66976,-73.950673,parks_&_outdoor
188,40.65047,-73.976562,parks_&_outdoor
189,40.689662,-73.998243,parks_&_outdoor
190,40.629042,-73.884898,parks_&_outdoor
191,40.679784,-73.968808,parks_&_outdoor
192,40.68981509781854,-73.94682884216309,parks_&_outdoor
193,40.572639,-73.978581,parks_&_outdoor
194,40.671159,-73.936643,parks_&_outdoor
195,40.697405,-73.997022,parks_&_outdoor
196,40.68135,-73.994601,parks_&_outdoor
197,40.691767,-74.000159,parks_&_outdoor
198,40.699901911003046,-73.97324323654175,landmarks
199,40.685048,-73.919072,parks_&_outdoor
200,40.670963,-73.962056,parks_&_outdoor
201,40.677605,-74.017306,parks_&_outdoor
202,40.623083,-74.030513,parks_&_outdoor
203,40.667161,-73.972843,parks_&_outdoor
204,40.714812,-73.967506,parks_&_outdoor
205,40.696312,-73.99759,parks_&_outdoor
206,40.703503,-73.990891,parks_&_outdoor
207,40.720981,-73.960717,parks_&_outdoor
208,40.720855,-73.961411,parks_&_outdoor
209,40.72447,-73.943216,parks_&_outdoor
210,40.729988,-73.96076,parks_&_outdoor
211,40.721899,-73.960709,parks_&_outdoor
212,40.681124,-73.97309,parks_&_outdoor
213,40.690162,-73.973791,parks_&_outdoor
214,40.698442,-73.990605,parks_&_outdoor
215,40.68486,-73.988458,parks_&_outdoor
216,40.704341,-73.989833,parks_&_outdoor
217,40.681901,-73.889167,parks_&_outdoor
218,40.692345,-73.998698,parks_&_outdoor
219,40.723003,-73.94364,parks_&_outdoor
220,40.67768,-74.00863,parks_&_outdoor
221,40.702979,-73.923981,parks_&_outdoor
222,40.66128,-73.989321,parks_&_outdoor
223,40.703385,-73.989272,parks_&_outdoor
224,40.696624,-73.986084,parks_&_outdoor
225,40.697508,-73.977305,parks_&_outdoor
226,40.672957,-73.986073,parks_&_outdoor
227,40.677041,-73.978557,parks_&_outdoor
228,40.684604,-73.989931,parks_&_outdoor
229,40.675259,-73.962658,parks_&_outdoor
230,40.700826,-73.996153,landmarks
231,40.713166,-73.968576,parks_&_outdoor
232,40.631377,-74.038427,parks_&_outdoor
233,40.700426,-73.995003,parks_&_outdoor
234,40.710585,-73.960272,parks_&_outdoor
235,40.681552,-73.959194,parks_&_outdoor
236,40.6411,-73.974323,parks_&_outdoor
237,40.68563,-73.971913,parks_&_outdoor
238,40.583335,-73.921026,parks_&_outdoor
239,40.725323,-73.943598,parks_&_outdoor
240,40.698865,-73.970988,retail_&_shopping
241,40.705866,-73.947173,parks_&_outdoor
242,40.694162,-73.999293,parks_&_outdoor
243,40.650467,-73.966668,parks_&_outdoor
244,40.657722,-73.967429,parks_&_outdoor
245,40.667813,-73.964942,parks_&_outdoor
246,40.669439,-73.962607,landmarks
247,40.680679,-73.969584,parks_&_outdoor
248,40.645518,-74.023873,parks_&_outdoor
249,40.692335,-73.977191,parks_&_outdoor
250,40.681204,-74.013829,parks_&_outdoor
251,40.701104,-73.989881,parks_&_outdoor
252,40.709158,-73.969206,parks_&_outdoor
253,40.703474,-73.995952,parks_&_outdoor
254,40.605405,-74.048466,landmarks
255,40.716388,-73.922656,landmarks
256,40.719747,-73.962503,parks_&_outdoor
257,40.723482,-73.937809,landmarks
258,40.733391,-73.940414,landmarks
259,40.660889,-73.961884,retail_&_shopping
260,40.676085,-73.972022,retail_&_shopping
261,40.686204,-73.97464,retail_&_shopping
262,40.687188,-73.976118,retail_&_shopping
263,40.674879,-73.988721,retail_&_shopping
264,40.675172,-73.977917,retail_&_shopping
265,40.674769,-73.976855,retail_&_shopping
266,40.677383,-73.95585,retail_&_shopping
267,40.670674,-73.954763,retail_&_shopping
268,40.691258,-73.983125,retail_&_shopping
269,40.679152,-73.964248,retail_&_shopping
270,40.656744,-73.977722,retail_&_shopping
271,40.610151,-74.001121,retail_&_shopping
272,40.659413,-74.004462,retail_&_shopping
273,40.654892,-73.868857,retail_&_shopping
274,40.668764,-73.979673,retail_&_shopping
275,40.686373,-73.978354,retail_&_shopping
276,40.689498,-73.992543,retail_&_shopping
277,40.65202,-73.871541,retail_&_shopping
278,40.59345,-73.999374,retail_&_shopping
279,40.717287,-73.961709,retail_&_shopping
280,40.684877,-73.986076,restaurants
281,40.631554,-73.946635,retail_&_shopping
282,40.698765,-73.978663,retail_&_shopping
283,40.718638,-73.96163,retail_&_shopping
284,40.716815,-73.961211,retail_&_shopping
285,40.592541,-73.997161,retail_&_shopping
286,40.715612,-73.959811,retail_&_shopping
287,40.716206,-73.959791,retail_&_shopping
288,40.717909,-73.964658,retail_&_shopping
289,40.64477,-73.980088,retail_&_shopping
290,40.585265,-73.949563,retail_&_shopping
291,40.690937,-73.983025,retail_&_shopping
292,40.686205,-73.978566,retail_&_shopping
293,40.67970234842723,-73.94440412521362,retail_&_shopping
294,40.713508,-73.959861,retail_&_shopping
295,40.693255,-73.965055,retail_&_shopping
296,40.650552,-73.959523,retail_&_shopping
297,40.702227,-73.99023,retail_&_shopping
298,40.684352,-73.995243,retail_&_shopping
299,40.685674,-73.978283,retail_&_shopping
300,40.67613,-73.958331,retail_&_shopping
301,40.588191,-73.960905,retail_&_shopping
302,40.589558,-73.952122,retail_&_shopping
303,40.676201,-73.963741,retail_&_shopping
304,40.711238,-73.968065,retail_&_shopping
305,40.59335,-74.001068,retail_&_shopping
306,40.655674,-74.009153,retail_&_shopping
307,40.653028,-73.870096,retail_&_shopping
308,40.659245,-74.004424,retail_&_shopping
309,40.698076,-73.909573,retail_&_shopping
310,40.591127,-73.939777,retail_&_shopping
311,40.619801,-74.032298,retail_&_shopping
312,40.671999,-74.01137,retail_&_shopping
313,40.605165,-73.978456,retail_&_shopping
314,40.688844,-73.96266,retail_&_shopping
315,40.700584,-73.910584,retail_&_shopping
316,40.696033,-73.993957,retail_&_shopping
317,40.683863,-73.975465,retail_&_shopping
318,40.687073,-73.966386,retail_&_shopping
319,40.675848,-73.912271,retail_&_shopping
320,40.656467,-73.949944,retail_&_shopping
321,40.67718,-73.969404,retail_&_shopping
322,40.694863,-73.995351,retail_&_shopping
323,40.654672,-73.956588,retail_&_shopping
324,40.587275,-73.954951,retail_&_shopping
325,40.668785,-73.984863,retail_&_shopping
326,40.617191,-73.909458,retail_&_shopping
327,40.581678,-73.988725,retail_&_shopping
328,40.715874,-73.960127,retail_&_shopping
329,40.730091,-73.950853,retail_&_shopping
330,40.642648,-73.978872,retail_&_shopping
331,40.688951,-73.990669,retail_&_shopping
332,40.646718,-73.957807,retail_&_shopping
333,40.648843,-74.006703,retail_&_shopping
334,40.696557,-73.936346,retail_&_shopping
335,40.655442,-73.960017,retail_&_shopping
336,40.679889,-73.996811,retail_&_shopping
337,40.691202,-73.98718,retail_&_shopping
338,40.678041,-73.97345,retail_&_shopping
339,40.684568,-73.977324,retail_&_shopping
340,40.663204,-73.959968,retail_&_shopping
341,40.722892,-73.943723,retail_&_shopping
342,40.688246,-73.98087,retail_&_shopping
343,40.692945,-73.948466,retail_&_shopping
344,40.635884,-74.027366,retail_&_shopping
345,40.691643,-73.952779,retail_&_shopping
346,40.684529,-73.976756,retail_&_shopping
347,40.668614,-73.987211,retail_&_shopping
348,40.693351,-73.979499,retail_&_shopping
349,40.727988,-73.952868,retail_&_shopping
350,40.704582,-73.920464,retail_&_shopping
351,40.69491,-74.001548,parks_&_outdoor
352,40.668437,-73.995706,landmarks
353,40.570193,-73.983402,parks_&_outdoor
354,40.687843,-73.98382,Other
355,40.634953,-73.928292,retail_&_shopping
356,40.722112,-73.956789,Other
357,40.695711,-73.983954,Other
358,40.633746,-74.036562,parks_&_outdoor
359,40.63092,-73.919906,retail_&_shopping
360,40.676275,-73.889917,retail_&_shopping
361,40.647636,-73.97972,retail_&_shopping
362,40.72313,-73.938844,retail_&_shopping
363,40.693237,-73.955676,retail_&_shopping
364,40.632722,-73.94729,landmarks
365,40.641334,-73.963656,landmarks
366,40.64422,-73.964552,landmarks
367,40.650598,-73.949762,landmarks
368,40.649535,-73.963276,landmarks
369,40.657008,-73.949878,landmarks
370,40.655347,-73.961539,landmarks
371,40.643158,-73.979938,landmarks
372,40.64986528480866,-73.97580206394196,landmarks
373,40.608906,-73.957569,landmarks
374,40.661464,-73.96256,landmarks
375,40.609037,-73.972728,landmarks
376,40.612336,-73.982176,landmarks
377,40.636348,-73.994617,landmarks
378,40.640716,-73.994484,landmarks
379,40.660078,-73.979988,landmarks
380,40.646376,-73.994402,landmarks
381,40.670487,-73.957721,landmarks
382,40.668709,-73.931492,landmarks
383,40.60449045465899,-73.98058727023505,landmarks
384,40.65341,-73.906851,landmarks
385,40.64048,-73.902707,landmarks
386,40.671874,-73.964271,landmarks
387,40.684829,-73.97764,landmarks
388,40.66661193038475,-73.98104467775325,landmarks
389,40.631878,-74.006423,landmarks
390,40.597388,-73.979284,landmarks
391,40.675841,-73.971097,landmarks
392,40.660187,-73.997823,landmarks
393,40.665454,-73.992406,landmarks
394,40.678672,-73.947962,landmarks
395,40.654563,-74.004445,landmarks
396,40.658995,-73.899389,landmarks
397,40.677144,-73.972761,landmarks
398,40.680055,-73.940602,landmarks
399,40.670065,-73.98936,landmarks
400,40.635137,-74.011389,landmarks
401,40.678849,-73.929217,landmarks
402,40.66736,-73.896911,landmarks
403,40.641213,-74.017731,landmarks
404,40.684113,-73.978179,landmarks
405,40.68875,-73.96017,landmarks
406,40.688442,-73.965611,landmarks
407,40.689376,-73.954916,landmarks
408,40.583958,-73.982069,Other
409,40.678546,-73.904,landmarks
410,40.679491,-73.995574,landmarks
411,40.683067,-73.910406,landmarks
412,40.629675,-74.025898,landmarks
413,40.685518,-73.915557,landmarks
414,40.688265,-73.980173,landmarks
415,40.688727,-73.98102,landmarks
416,40.672543,-73.890433,landmarks
417,40.688456,-73.985066,landmarks
418,40.693161,-73.928234,landmarks
419,40.576094,-73.976235,landmarks
420,40.69007,-73.981203,landmarks
421,40.576749,-73.981874,landmarks
422,40.678271,-73.89191,landmarks
423,40.69711,-73.935844,landmarks
424,40.616001,-74.031405,landmarks
425,40.69407,-73.982799,landmarks
426,40.692109,-73.987521,landmarks
427,40.688771,-73.904644,landmarks
428,40.699646,-73.949902,landmarks
429,40.705684,-73.949959,landmarks
430,40.69969,-73.911772,landmarks
431,40.69556,-73.989532,landmarks
432,40.675297,-73.871698,landmarks
433,40.701292,-73.986921,landmarks
434,40.706943,-73.95328,landmarks
435,40.705755,-73.933162,landmarks
436,40.708553,-73.957619,landmarks
437,40.699646,-73.997896,parks_&_outdoor
438,40.709255,-73.959566,landmarks
439,40.676808,-73.865431,landmarks
440,40.712194,-73.940434,landmarks
441,40.713842,-73.951407,landmarks
442,40.713941,-73.95176,landmarks
443,40.714682,-73.944195,landmarks
444,40.717886,-73.957499,landmarks
445,40.692521,-73.901469,bars_&_clubs
446,40.697978,-73.90512,cultural
447,40.749415,-73.846017,entertainment_&_leisure
448,40.749919,-73.847104,cultural
449,40.715222,-73.913709,cultural
450,40.715222,-73.913709,bars_&_clubs
451,40.697031,-73.906262,bars_&_clubs
452,40.743806,-73.849852,parks_&_outdoor
453,40.754563,-73.861554,cultural
454,40.748007,-73.848039,entertainment_&_leisure
455,40.74583,-73.846694,cultural
456,40.708218,-73.919598,cultural
457,40.756992,-73.845985,entertainment_&_leisure
458,40.741125,-73.783869,entertainment_&_leisure
459,40.749085,-73.848078,entertainment_&_leisure
460,40.747318,-73.851726,cultural
461,40.756325,-73.92395,cultural
462,40.70801,-73.86797,entertainment_&_leisure
463,40.74652,-73.951791,entertainment_&_leisure
464,40.745568,-73.947037,cultural
465,40.751181080754456,-73.84192228317261,entertainment_&_leisure
466,40.744164,-73.844363,cultural
467,40.766922,-73.93783,cultural
468,40.772731,-73.915744,cultural
469,40.745566,-73.947125,cultural
470,40.775558,-73.914977,entertainment_&_leisure
471,40.745515,-73.946992,cultural
472,40.762769,-73.753394,cultural
473,40.746356,-73.849289,cultural
474,40.748249,-73.721196,cultural
475,40.700429,-73.856786,cultural
476,40.767491,-73.9363,cultural
477,40.754766,-73.923759,entertainment_&_leisure
478,40.741555,-73.933652,entertainment_&_leisure
479,40.746919,-73.940888,cultural
480,40.72078,-73.84343,entertainment_&_leisure
481,40.752085,-73.896535,entertainment_&_leisure
482,40.761223,-73.924441,entertainment_&_leisure
483,40.761567,-73.923668,Other
484,40.746026,-73.915568,cultural
485,40.732957,-73.810256,entertainment_&_leisure
486,40.773124,-73.894654,entertainment_&_leisure
487,40.752211,-73.895841,entertainment_&_leisure
488,40.771681,-73.908495,cultural
489,40.737992,-73.815848,cultural
490,40.74881,-73.944847,cultural
491,40.745992,-73.914824,entertainment_&_leisure
492,40.736329,-73.937426,landmarks
493,40.747408,-73.841991,cultural
494,40.747266,-73.888975,bars_&_clubs
495,40.760824,-73.908918,bars_&_clubs
496,40.673227,-73.833036,entertainment_&_leisure
497,40.744001,-73.934968,cultural
498,40.671754,-73.84833,entertainment_&_leisure
499,40.672032,-73.856319,entertainment_&_leisure
500,40.700222,-73.810362,bars_&_clubs
501,40.779019,-73.778812,entertainment_&_leisure
502,40.6798,-73.849842,bars_&_clubs
503,40.709968,-73.848625,Other
504,40.704071,-73.798981,entertainment_&_leisure
505,40.717152,-73.852333,cultural
506,40.755713,-73.833731,cultural
507,40.758015,-73.844908,cultural
508,40.750267,-73.885592,cultural
509,40.748986,-73.889213,entertainment_&_leisure
510,40.760461,-73.833727,entertainment_&_leisure
511,40.748931,-73.901571,cultural
512,40.770389,-73.833734,entertainment_&_leisure
513,40.753228,-73.914573,entertainment_&_leisure
514,40.751284,-73.939045,Other
515,40.77354,-73.907604,Other
516,40.773438,-73.913499,cultural
517,40.775776,-73.908736,entertainment_&_leisure
518,40.684702,-73.84579,entertainment_&_leisure
519,40.70926,-73.869674,entertainment_&_leisure
520,40.694002,-73.781485,cultural
521,40.710381,-73.786157,entertainment_&_leisure
522,40.698621,-73.771482,cultural
523,40.721849,-73.885282,cultural
524,40.734606,-73.882131,cultural
525,40.748213,-73.891936,entertainment_&_leisure
526,40.754625,-73.916853,Other
527,40.751955,-73.925968,Other
528,40.759946,-73.921728,cultural
529,40.765051,-73.914363,Other
530,40.766701,-73.921328,entertainment_&_leisure
531,40.692521,-73.901469,entertainment_&_leisure
532,40.701955,-73.903567,restaurants
533,40.69628,-73.904097,bars_&_clubs
534,40.736494,-73.802698,restaurants
535,40.726256,-73.852707,restaurants
536,40.642273,-73.783389,restaurants
537,40.761155,-73.827724,restaurants
538,40.719151,-73.841756,bars_&_clubs
539,40.721262,-73.851871,restaurants
540,40.760998,-73.82964,restaurants
541,40.747701,-73.884711,restaurants
542,40.695209,-73.903795,restaurants
543,40.735755,-73.934697,bars_&_clubs
544,40.742648,-73.952005,restaurants
545,40.78005,-73.79353,restaurants
546,40.746529,-73.951442,Other
547,40.778335,-73.901753,Other
548,40.743379,-73.954246,restaurants
549,40.774675,-73.913677,restaurants
550,40.774831,-73.913901,restaurants
551,40.747655,-73.941615,retail_&_shopping
552,40.749325,-73.955829,bars_&_clubs
553,40.75817,-73.78608,restaurants
554,40.773354,-73.906461,restaurants
555,40.73977,-73.878566,restaurants
556,40.747746,-73.94223,restaurants
557,40.745992,-73.914824,restaurants
558,40.763412,-73.921247,restaurants
559,40.742713,-73.951891,restaurants
560,40.761655,-73.918298,bars_&_clubs
