name,latitude,longitude,address_cleaned,category_group
The Royal Palms Shuffleboard Club,40.678538,-73.986989,"514 Union St (btwn 3rd Ave & Nevins St), Gowanus, NY 11215",restaurants
Other Half Brewing Company,40.673897,-73.999105,"195 Centre St (Smith & Court St), Brooklyn, NY 11231",bars_&_clubs
Threes Brewing,40.679692,-73.982193,"333 Douglass St (at 4th Ave), Brooklyn, NY 11217",bars_&_clubs
Public Records,40.682219,-73.986435,"233 Butler St (btw Bond & Nevins), Brooklyn, NY 11217",cultural
Finback Brewery,40.67752,-73.984769,"545 President St, Brooklyn, NY 11215",bars_&_clubs
Beer Street South,40.680609,-73.968186,"550 Vanderbilt Ave, Brooklyn, NY 11238",bars_&_clubs
The Bell House,40.67372,-73.991728,"149 7th St (btwn 2nd & 3rd Ave), Brooklyn, NY 11215",bars_&_clubs
The Rockwell Place,40.689047,-73.979156,"31 Rockwell Pl, Brooklyn, NY 11217",restaurants
Grand Army,40.6882,-73.986539,"336 State St (at Hoyt St), Brooklyn, NY 11217",restaurants
Black Forest Brooklyn,40.685653,-73.991019,"181 Smith St, Brooklyn, NY 11201",entertainment_&_leisure
Stumptown Coffee Roasters,40.68875,-73.9921,"212 Pacific St (Court St), Brooklyn, NY 11201",restaurants
Brooklyn Social,40.680491,-73.99448,"335 Smith St (at Carroll St), Brooklyn, NY 11231",restaurants
Sisters,40.6829,-73.965178,"900 Fulton St (btwn Washington & Waverly Ave), Brooklyn, NY 11238",restaurants
Strong Rope Brewery,40.677299,-74.018646,"185 Van Dyke St, Brooklyn, NY 11231",bars_&_clubs
Covenhoven,40.67527,-73.96026,"730 Classon Ave (btwn Prospect Pl & Park Pl), Brooklyn, NY 11238",bars_&_clubs
Gold Star Beer Counter,40.675147,-73.96684,"176 Underhill Ave (Sterling Pl), Brooklyn, NY 11238",bars_&_clubs
BierWax,40.680016,-73.968206,"556 Vanderbilt Ave, Brooklyn, NY 11238",bars_&_clubs
Franklin Park,40.672373,-73.95775,"618 Saint Johns Pl (btwn Classon & Franklin Ave), Brooklyn, NY 11238",bars_&_clubs
The Royal Palms Shuffleboard Club,40.678538,-73.986989,"514 Union St (btwn 3rd Ave & Nevins St), Gowanus, NY 11215",restaurants
Other Half Brewing Company,40.673897,-73.999105,"195 Centre St (Smith & Court St), Brooklyn, NY 11231",bars_&_clubs
Threes Brewing,40.679692,-73.982193,"333 Douglass St (at 4th Ave), Brooklyn, NY 11217",bars_&_clubs
Public Records,40.682219,-73.986435,"233 Butler St (btw Bond & Nevins), Brooklyn, NY 11217",cultural
Finback Brewery,40.67752,-73.984769,"545 President St, Brooklyn, NY 11215",bars_&_clubs
Beer Street South,40.680609,-73.968186,"550 Vanderbilt Ave, Brooklyn, NY 11238",bars_&_clubs
The Bell House,40.67372,-73.991728,"149 7th St (btwn 2nd & 3rd Ave), Brooklyn, NY 11215",bars_&_clubs
LaRina Pastificio & Vino,40.69338,-73.970426,"387 Myrtle Ave (btwn Clermont & Vanderbilt Ave), Brooklyn, NY 11205",restaurants
Union Hall,40.676084,-73.980046,"702 Union St (btwn 5th & 6th Ave), Brooklyn, NY 11215",entertainment_&_leisure
The Rockwell Place,40.689047,-73.979156,"31 Rockwell Pl, Brooklyn, NY 11217",restaurants
Leyenda,40.684229,-73.991835,"221 Smith St (btwn Butler St & Baltic St), Brooklyn, NY 11201",restaurants
Grand Army,40.6882,-73.986539,"336 State St (at Hoyt St), Brooklyn, NY 11217",restaurants
Black Forest Brooklyn,40.685653,-73.991019,"181 Smith St, Brooklyn, NY 11201",entertainment_&_leisure
The Coyote Club,40.688595,-73.941757,"417 Throop Ave (at Lexington Ave), Brooklyn, NY 11221",restaurants
June,40.686113,-73.993916,"231 Court St (btwn Baltic & Warren St), Brooklyn, NY 11201",restaurants
Brooklyn Social,40.680491,-73.99448,"335 Smith St (at Carroll St), Brooklyn, NY 11231",restaurants
Prospect Park Parkside Entrance,40.655166,-73.962273,"Parkside Ave (at Ocean Ave), Brooklyn, NY 11226",parks_&_outdoor
Boathouse & Audubon Center,40.660798,-73.965281,"Hill Dr (at East Dr), Brooklyn, NY 11225",landmarks
Nethermead,40.660706,-73.968678,"Brooklyn, NY 11218",landmarks
Prospect Park,40.661865,-73.969682,"Prospect Park W/SW (Flatbush Ave), Brooklyn, NY 11215",parks_&_outdoor
The Peninsula,40.656818,-73.968963,"16TH St, Brooklyn, NY 11226",landmarks
Brooklyn Botanic Garden,40.666325,-73.96208,"990 Washington Avenue (btwn President St & Empire Blvd), Brooklyn, NY 11225",parks_&_outdoor
Long Meadow,40.668798,-73.970431,"btwn East Dr & West Dr, Brooklyn, NY 11215",landmarks
Mount Prospect Park,40.673187,-73.967549,"68 Eastern Pkwy (Flatbush Ave), Brooklyn, NY 11238",parks_&_outdoor
The Shakespeare Garden,40.66762,-73.962101,"1000 Washington Ave, Brooklyn, NY 11225",landmarks
Lincoln Road Playground,40.660952,-73.963543,"20 Lincoln Rd (at Ocean Ave), Brooklyn, NY 11225",parks_&_outdoor
Brower Park,40.673564,-73.94345,"900 Prospect Pl, Brooklyn, NY 11213",parks_&_outdoor
Prospect Park Picnic House,40.665589,-73.971483,"West Dr, Brooklyn, NY 11225",parks_&_outdoor
Prospect Park Dog Beach,40.66261,-73.972022,"West Dr (Upper Pool), Brooklyn, NY 11215",parks_&_outdoor
J.J. Byrne Playground,40.672204,-73.983994,"344 5th Ave (btwn 3rd & 4th St), Brooklyn, NY 11215",parks_&_outdoor
Bouldering Project Brooklyn,40.679693,-73.984156,"575 Degraw St (at 3rd Ave), Brooklyn, NY 11217",entertainment_&_leisure
Marquis de Lafayette Monument,40.664587,-73.976676,"Prospect Park W (at 9th St), Brooklyn, NY 11215",landmarks
James Forten Playground,40.67664,-73.965459,"Underhill Ave (at Prospect Pl), Brooklyn, NY 11238",parks_&_outdoor
Underwood Park,40.68842,-73.966395,"LAFAYETTE Ave, Brooklyn , 11238, United States (Washington Avenue), Brooklyn, NY 11205",parks_&_outdoor
Greenwood Playground,40.65047,-73.976562,"E 5th Street, Between Fort Hamilton Parkway and Greenwood Ave, Brooklyn , 11218, United States (at E 5th St), Brooklyn, NY 11218",parks_&_outdoor
Vale of Cashmere,40.668856,-73.968253,"439 Flatbush Ave (East Dr), Brooklyn, NY 11225",Other
Flatbush Food Co-Op,40.641251,-73.964742,"1415 Cortelyou Rd (Marlborough Rd), Brooklyn, NY 11226",retail_&_shopping
Lincoln Market,40.660889,-73.961884,"33 Lincoln Rd, Brooklyn, NY 11225",retail_&_shopping
Union Market,40.676085,-73.972022,"342 Flatbush Ave (Sterling Pl), Brooklyn, NY 11238",retail_&_shopping
Whole Foods Market,40.674879,-73.988721,"214 3rd St (at 3rd Ave), Brooklyn, NY 11215",retail_&_shopping
Mr Mango,40.687188,-73.976118,"59 Lafayette Ave (btwn S Elliot Pl & Ft Green Pl), Brooklyn, NY 11217",retail_&_shopping
Park Slope Food Coop,40.674769,-73.976855,"782 Union St (btwn 6th & 7th Ave), Brooklyn, NY 11215",retail_&_shopping
Food Garden Market,40.677383,-73.95585,"608 Franklin Ave (Dean St.), Brooklyn, NY 11238",retail_&_shopping
Union Market,40.670674,-73.954763,"656 Lincoln Pl, Brooklyn, NY 11216",retail_&_shopping
Jmart 新世界超市,40.610151,-74.001121,"8121 New Utrecht Ave, Brooklyn, NY 11214",retail_&_shopping
Windsor Farms Market,40.656744,-73.977722,"589 Prospect Ave, Brooklyn, NY 11215",retail_&_shopping
Trader Joe's,40.691258,-73.983125,"445 Gold St (btwn Willoughby & Fulton St), Brooklyn, NY 11201",retail_&_shopping
Micro Center,40.659413,-74.004462,"850 3rd Ave (at 31st St), Brooklyn, NY 11232",retail_&_shopping
ShopRite,40.654892,-73.868857,"590 Gateway Dr (Erskine St), Brooklyn, NY 11239",retail_&_shopping
Trader Joe's,40.689498,-73.992543,"130 Court St (at Atlantic Ave), Brooklyn, NY 11201",retail_&_shopping
Barnes & Noble,40.668764,-73.979673,"267 7th Ave (at 6th St), Brooklyn, NY 11215",Other
Gateway Center,40.65202,-73.871541,"409 Gateway Dr, Brooklyn, NY 11239",retail_&_shopping
Amazon Locker Whole Foods,40.686373,-73.978354,"292 Ashland Pl, Brooklyn, NY 11217",retail_&_shopping
McNally Jackson Books,40.717287,-73.961709,"76 N 4th St (Wythe), Brooklyn, NY 11249",Other
Caesar's Shopping Center,40.59345,-73.999374,"8949 Bay Pkwy, Brooklyn, NY 11214",retail_&_shopping
The Shop at Threes,40.679692,-73.982193,"333 Douglass St (4th Ave), Brooklyn, NY 11217",retail_&_shopping
Forest Park,40.702907,-73.852688,"Forest Park Dr (at Myrtle Ave), Queens, NY 11418",parks_&_outdoor
Taqueria Kermes,40.707929,-73.897857,"6636 Fresh Pond Rd (at Woodbine St), Ridgewood, NY 11385",restaurants
Rolo's,40.701955,-73.903567,"853 Onderdonk Ave (Cornelia Street), Ridgewood, NY 11385",restaurants
Flushing Meadows Corona Park,40.749576,-73.854123,"100 Flushing Meadows (Dwight Eisenhower Promenade), Queens, NY 11368",parks_&_outdoor
USTA Billie Jean King National Tennis Center,40.749415,-73.846017,"5201 111th St, Flushing, NY 11368",entertainment_&_leisure
Basement,40.715222,-73.913709,"5219 Flushing Ave, Queens, NY 11378",bars_&_clubs
Arthur Ashe Stadium,40.749919,-73.847104,"USTA Billie Jean King National Tennis Center, Queens, NY 11368",cultural
Ayada Thai,40.743419,-73.887522,"7708 Woodside Ave (btwn 77th & 78th St), Elmhurst, NY 11373",restaurants
Louis Armstrong House Museum,40.754563,-73.861554,"3456 107th St (btwn 34th & 37th Ave), Corona, NY 11368",cultural
Haidilao Hotpot,40.761155,-73.827724,"13823 39th Ave (Union St), Flushing, NY 11354",restaurants
Bolivian Llama Party,40.739251,-73.920858,"44-14 48TH Ave, Sunnyside, NY 11104",restaurants
Sotto Le Stelle,40.743748,-73.920111,"4407 Queens Blvd, Sunnyside, NY 11104",restaurants
Museum of the Moving Image,40.756325,-73.92395,"3601 35th Ave (btwn 36th St and 37th St), Astoria, NY 11106",cultural
Loukoumi Taverna,40.770807,-73.902739,"4507 Ditmars Blvd, Astoria, NY 11105",restaurants
Dutch Kills,40.747692,-73.940218,"2724 Jackson Ave (btwn Queens & Dutch Kills St), Long Island City, NY 11101",restaurants
Brooklyn Bagel & Coffee Company,40.764601,-73.917098,"3614 30th Ave (btwn 36th & 37th St), Astoria, NY 11103",Other
Hibino LIC,40.742648,-73.952005,"1070 Jackson Ave (btw 50th Ave & 11th St), Long Island City, NY 11101",restaurants
"Sal, Kris & Charlie's Deli",40.773163,-73.911653,"3312 23rd Ave (btwn 33rd & 35th St), Astoria, NY 11105",restaurants
Fifth Hammer Brewing Company,40.746529,-73.951442,"10 W 46th St, Queens, NY 10036",Other
Casa Enrique,40.743379,-73.954246,"548 49th Ave (at Vernon Blvd), Long Island City, NY 11101",restaurants
SingleCut Beersmiths,40.778335,-73.901753,"1933 37th St (btwn 19th & 20th Ave), Astoria, NY 11105",Other
The Bonnie,40.774675,-73.913677,"2912 23rd Ave (btwn 29th & 31st St), Astoria, NY 11105",restaurants
New York City Bagel & Coffee House,40.774831,-73.913901,"2908 23rd Ave (btwn 29th & 31st St), Astoria, NY 11105",Other
Hunter's Point South Park,40.742452,-73.960674,"Center Blvd (at Borden Ave), Queens, NY 11101",parks_&_outdoor
Gantry Plaza State Park,40.744382,-73.95708,"474 48th Ave (btwn 46th & 48th Ave), Queens, NY 11109",parks_&_outdoor
Vesta Trattoria & Wine Bar,40.769609,-73.927686,"2102 30th Ave (at 21st St), Astoria, NY 11102",restaurants
Pepsi Cola Sign,40.747355,-73.956889,"4610 Center Blvd (at Center Blvd), Queens, NY 11109",landmarks
The Noguchi Museum,40.766922,-73.93783,"9-01 33rd Rd (at Vernon Blvd), Long Island City, NY 11106",cultural
Breezy Point Beach,40.558405,-73.92126,"Queens, NY 11697",parks_&_outdoor
Kew Gardens Cinema,40.709106,-73.829787,"8105 Lefferts Blvd (at Austin St), Kew Gardens, NY 11415",entertainment_&_leisure
Indoors at Nowadays,40.692521,-73.901469,"5606 Cooper Ave, Glendale, NY 11385",bars_&_clubs
TV Eye,40.697978,-73.90512,"1647 Weirfield St, Ridgewood, NY 11385",cultural
USTA Billie Jean King National Tennis Center,40.749415,-73.846017,"5201 111th St, Flushing, NY 11368",entertainment_&_leisure
Knockdown Center,40.715222,-73.913709,"5219 Flushing Ave (at 54th St), Maspeth, NY 11378",cultural
Arthur Ashe Stadium,40.749919,-73.847104,"USTA Billie Jean King National Tennis Center, Queens, NY 11368",cultural
Trans-Pecos,40.697031,-73.906262,"915 Wyckoff Ave, Ridgewood, NY 11385",bars_&_clubs
Basement,40.715222,-73.913709,"5219 Flushing Ave, Queens, NY 11378",bars_&_clubs
Louis Armstrong House Museum,40.754563,-73.861554,"3456 107th St (btwn 34th & 37th Ave), Corona, NY 11368",cultural
Louis Armstrong Stadium,40.751047,-73.845223,"Flushing Meadows, Queens, NY 11368",cultural
The Keep,40.708218,-73.919598,"205 Cypress Ave (Between Starr & Willoughby), Ridgewood, NY 11385",cultural
AMC Fresh Meadows 7,40.741125,-73.783869,"19002 Horace Harding Expy, Fresh Meadows, NY 11365",entertainment_&_leisure
Citi Field,40.756992,-73.845985,"12001 Roosevelt Ave (at Roosevelt Ave), Flushing, NY 11368",entertainment_&_leisure
Queens Zoo,40.743806,-73.849852,"5351 111th St, Flushing, NY 11368",parks_&_outdoor
Queens Museum of Art,40.74583,-73.846694,"Flushing Meadows (Kennedy Circle), Queens, NY 11368",cultural
Practice Courts (1-5),40.749085,-73.848078,"Flushing, NY 11368",entertainment_&_leisure
New York Hall of Science,40.747318,-73.851726,"4701 111th St (at 47th Ave), Corona, NY 11368",cultural
Museum of the Moving Image,40.756325,-73.92395,"3601 35th Ave (btwn 36th St and 37th St), Astoria, NY 11106",cultural
Regal Atlas Park,40.70801,-73.86797,"8028 Cooper Ave (Suite #6216), Glendale, NY 11385",entertainment_&_leisure
The Gutter,40.74652,-73.951791,"1022 46th Ave (btwn Vernon Blvd & 11th St), Queens, NY 11101",entertainment_&_leisure
Rolo's,40.701955,-73.903567,"853 Onderdonk Ave (Cornelia Street), Ridgewood, NY 11385",restaurants
Aunt Ginny's,40.705528,-73.907104,"652 Woodward Ave (at Linden St), Ridgewood, NY 11385",bars_&_clubs
TV Eye,40.697978,-73.90512,"1647 Weirfield St, Ridgewood, NY 11385",cultural
Park Side Restaurant,40.743859,-73.856142,"10701 Corona Ave, Corona, NY 11368",restaurants
Starbucks,40.726256,-73.852707,"10102 Queens Blvd, Forest Hills, NY 11375",restaurants
Fillmore's Tavern,40.736494,-73.802698,"16602 65th Ave (at 166th St), Fresh Meadows, NY 11365",restaurants
Shake Shack,40.642273,-73.783389,"JFK International Airport, Queens, NY 11430",restaurants
The Dinerbar,40.729588,-73.85942,"9745 Queens Blvd (64th Road), Rego Park, NY 11374",restaurants
Haidilao Hotpot,40.761155,-73.827724,"13823 39th Ave (Union St), Flushing, NY 11354",restaurants
Shanghai You Garden,40.758978,-73.830572,"13533 40th Rd, Flushing, NY 11354",Other
Forest Cafe,40.721262,-73.851871,"6804 Burns St (btwn 68th Ave & 69th Ave), Forest Hills, NY 11375",restaurants
Pollos Mario Steak House & Seafood,40.747701,-73.884711,"8101 Roosevelt Ave, Jackson Heights, NY 11372",Other
SriPraPhai,40.746404,-73.899205,"6413 39th Ave (btwn 64th & 65th St), Woodside, NY 11377",restaurants
Spring Shabu-Shabu,40.760998,-73.82964,"13620 38th Ave, Flushing, NY 11354",Other
Dutch Kills,40.747692,-73.940218,"2724 Jackson Ave (btwn Queens & Dutch Kills St), Long Island City, NY 11101",restaurants
Brooklyn Bagel & Coffee Company,40.764601,-73.917098,"3614 30th Ave (btwn 36th & 37th St), Astoria, NY 11103",Other
Hibino LIC,40.742648,-73.952005,"1070 Jackson Ave (btw 50th Ave & 11th St), Long Island City, NY 11101",restaurants
Utopia Bagels,40.78005,-73.79353,"1909 Utopia Pkwy (19th Ave), Whitestone, NY 11357",restaurants
Grey Cafe,40.75817,-73.78608,"19519 Northern Blvd (Btwn 195th & 196th St), Flushing, NY 11358",restaurants
Fifth Hammer Brewing Company,40.746529,-73.951442,"10 W 46th St, Queens, NY 10036",Other
Nowadays,40.692521,-73.901469,"5606 Cooper Ave (at Wyckoff Ave), Glendale, NY 11385",entertainment_&_leisure
Rolo's,40.701955,-73.903567,"853 Onderdonk Ave (Cornelia Street), Ridgewood, NY 11385",restaurants
Topos Bookstore Cafe,40.703569,-73.903715,"788 Woodward Ave (at Putnam Ave), Ridgewood, NY 11385",bars_&_clubs
Aunt Ginny's,40.705528,-73.907104,"652 Woodward Ave (at Linden St), Ridgewood, NY 11385",bars_&_clubs
Evil Twin Brewing NYC,40.69628,-73.904097,"1616 George St (Wyckoff Ave.), Ridgewood, NY 11385",bars_&_clubs
TV Eye,40.697978,-73.90512,"1647 Weirfield St, Ridgewood, NY 11385",cultural
Havana Dreams Cigar Lounge,40.723989,-73.869386,"6310 Woodhaven Blvd (btwn 63rd Ave & 63rd Rd), Middle Village, NY 11374",bars_&_clubs
Trans-Pecos,40.697031,-73.906262,"915 Wyckoff Ave, Ridgewood, NY 11385",bars_&_clubs
Fillmore's Tavern,40.736494,-73.802698,"16602 65th Ave (at 166th St), Fresh Meadows, NY 11365",restaurants
The Keep,40.708218,-73.919598,"205 Cypress Ave (Between Starr & Willoughby), Ridgewood, NY 11385",cultural
Bridge And Tunnel Brewery,40.693727,-73.90278,"1535 Decatur St (Decatur St. & Wycoff Ave.), Ridgewood, NY 11385",bars_&_clubs
The Dinerbar,40.729588,-73.85942,"9745 Queens Blvd (64th Road), Rego Park, NY 11374",restaurants
Rove,40.719151,-73.841756,"7227 Austin St, Forest Hills, NY 11375",bars_&_clubs
The Queensboro Restaurant,40.755249,-73.886956,"8002 Northern Blvd, Jackson Heights, NY 11372",bars_&_clubs
Dutch Kills,40.747692,-73.940218,"2724 Jackson Ave (btwn Queens & Dutch Kills St), Long Island City, NY 11101",restaurants
Mar's,40.758371,-73.924114,"3421 34th Ave (at 35th St), Astoria, NY 11106",restaurants
The Bungalow Bar,40.589026,-73.817152,"377 Beach 92nd St (at Beach Channel Dr), Rockaway Beach, NY 11693",Other
The Windjammer,40.709091,-73.906976,"552 Grandview Ave, Ridgewood, NY 11385",bars_&_clubs
SingleCut Beersmiths,40.778335,-73.901753,"1933 37th St (btwn 19th & 20th Ave), Astoria, NY 11105",Other
The Bonnie,40.774675,-73.913677,"2912 23rd Ave (btwn 29th & 31st St), Astoria, NY 11105",restaurants
Forest Park,40.702907,-73.852688,"Forest Park Dr (at Myrtle Ave), Queens, NY 11418",parks_&_outdoor
The Overlook,40.71050768647108,-73.83545279502869,"Forest Ln (Forest Park Dr), Forest Hills, NY 11415",parks_&_outdoor
Juniper Valley Park,40.72036,-73.880338,"76-00 Juniper N Blvd (btwn Juniper Blvd N & S), Queens, NY 11379",parks_&_outdoor
Flushing Meadows Corona Park,40.749576,-73.854123,"100 Flushing Meadows (Dwight Eisenhower Promenade), Queens, NY 11368",parks_&_outdoor
Elmhurst Park,40.73005,-73.885149,"Grand Ave (at 79th St), Queens, NY 11373",parks_&_outdoor
Kissena Park,40.746200298055705,-73.80810499191284,"OAK Ave (btwn Kissena Blvd & 164th St), Flushing, NY 11355",parks_&_outdoor
Cunningham Park,40.72781164387366,-73.77237796783447,"73RD Ave (at Francis Lewis Blvd), Queens, NY 11365",parks_&_outdoor
Forest Park Barking Lot,40.71041009500999,-73.83671879768372,"Forest Park Dr (at Park Ln), Queens, NY 11418",parks_&_outdoor
New York State Pavilion,40.743889,-73.844571,"Flushing Meadows, Queens, NY 11368",landmarks
Hunter's Point South Park,40.742452,-73.960674,"Center Blvd (at Borden Ave), Queens, NY 11101",parks_&_outdoor
Gantry Plaza State Park,40.744382,-73.95708,"474 48th Ave (btwn 46th & 48th Ave), Queens, NY 11109",parks_&_outdoor
Crocheron Park,40.7720106250771,-73.76746416091919,"33RD Rd (at 215th Pl), Queens, NY 11361",parks_&_outdoor
Kissena Corridor Park (West),40.74756583086727,-73.82040023803711,"Colden St (btwn Elder & Oak Ave), Flushing, NY 11355",parks_&_outdoor
World's Fair Playground,40.73726,-73.846427,"Grand Central Parkway (at 62nd Dr), Forest Hills, NY 11375",parks_&_outdoor
Pepsi Cola Sign,40.747355,-73.956889,"4610 Center Blvd (at Center Blvd), Queens, NY 11109",landmarks
Brooklyn Boulders Queensbridge,40.752761,-73.940325,"2310 41st Ave, Long Island City, NY 11101",entertainment_&_leisure
John F Murray Playground,40.747244,-73.948936,"21ST St (45th Rd), Long Island City, NY 11101",parks_&_outdoor
Bowne Park,40.775432,-73.775542,"29TH Ave (156th St), Flushing, NY 11360",parks_&_outdoor
Alley Pond Park,40.74329031912237,-73.74152183532715,"Springfield Blvd, Queens, NY 11364",parks_&_outdoor
Jacob Riis Park,40.569127,-73.863671,"190 Rockaway Beach Blvd (at Beach 149th St.), Rockaway Park, NY 11697",parks_&_outdoor
Micro Center,40.729014,-73.8147,"72ND Ave (btwn 71st & 72nd Ave), Flushing, NY 11367",retail_&_shopping
Trader Joe's,40.711248,-73.8583,"9030 Metropolitan Ave (at Woodhaven Blvd), Rego Park, NY 11374",retail_&_shopping
The Shops at Atlas Park,40.708673,-73.869434,"8000 Cooper Ave (at 80th St), Glendale, NY 11385",retail_&_shopping
Rego Center,40.733159,-73.86313,"6135 Junction Blvd (btwn 62nd Dr & LIE), Rego Park, NY 11374",retail_&_shopping
H Mart,40.772129,-73.826937,"2929 Union St (at 29th Rd.), Flushing, NY 11354",retail_&_shopping
Book Culture,40.747588,-73.942092,"2609 Jackson Ave (44th Dr), Long Island City, NY 11101",Other
United Brothers Fruit Markets,40.766188,-73.920347,"3224 30th Ave (33rd St.), Astoria, NY 11102",retail_&_shopping
Stop & Shop,40.780122,-73.777889,"21315 26th Ave, Bayside, NY 11360",retail_&_shopping
Stop & Shop,40.707279,-73.854592,"8989 Union Tpke (at Woodhaven Blvd.), Glendale, NY 11385",retail_&_shopping
Stop & Shop,40.768536,-73.834454,"3106 Farrington St, Flushing, NY 11354",retail_&_shopping
H Mart,40.762929,-73.809004,"15640 Northern Blvd (at 157th St), Flushing, NY 11354",retail_&_shopping
HomeGoods,40.780533,-73.776549,"2380 Bell Blvd, Bayside, NY 11360",retail_&_shopping
Macy's,40.734453,-73.871472,"9001 Queens Blvd (Queens Center Mall), Elmhurst, NY 11373",retail_&_shopping
Stop & Shop,40.731284,-73.887465,"74-17 Grand Avenue (at 74th St), Elmhurst, NY 11378",retail_&_shopping
Target,40.735338,-73.874736,"8801 Queens Blvd (56th Ave), Elmhurst, NY 11373",retail_&_shopping
Stop & Shop,40.679456,-73.755515,"13440 Springfield Blvd (Springfield Blvd and Merrick Blvd), Springfield Gardens, NY 11413",retail_&_shopping
Teso Life,40.76026,-73.826862,"13690 Roosevelt Ave, Flushing, NY 11354",retail_&_shopping
Costco,40.733359,-73.863748,"6135 Junction Blvd, Rego Park, NY 11374",retail_&_shopping
City Acres Market,40.749092,-73.938307,"2918 Queens Plz S, Long Island City, NY 11101",retail_&_shopping
Target,40.783677,-73.833251,"13505 20th Ave (132nd St), College Point, NY 11356",retail_&_shopping
Bronx Zoo,40.849655,-73.87669,"2300 Southern Blvd (at Boston Rd), Bronx, NY 10460",parks_&_outdoor
"Sea Lion Pool, Bronx Zoo",40.852906,-73.878409,"2300 Southern Blvd (at Astor Court), Bronx, NY 10460",parks_&_outdoor
Congo Gorilla Forest,40.848101,-73.881028,"2300 Southern Blvd (Bronx Zoo), Bronx, NY 10460",parks_&_outdoor
The New York Botanical Garden,40.865424,-73.881592,"2900 Southern Blvd (at Bronx Park Rd), Bronx, NY 10458",parks_&_outdoor
Antonio's Trattoria,40.854219,-73.886562,"2370 Belmont Ave, Bronx, NY 10458",restaurants
Tino's Delicatessen,40.855772,-73.887101,"2410 Arthur Ave (E. 187 St.), Bronx, NY 10458",restaurants
Delillo Pastry Shop,40.85528,-73.887301,"606 E 187th St (at Arthur Ave), Bronx, NY 10458",retail_&_shopping
Shop in the Garden,40.865424,-73.881592,"2900 Southern Blvd, Bronx, NY 10458",retail_&_shopping
Enid A. Haupt Conservatory,40.865424,-73.881592,"2900 Southern Blvd, Bronx, NY 10458",parks_&_outdoor
Zeppieri & Sons Bakery,40.846939,-73.831808,"3004 Buhre Ave (Crosby Avenue), Bronx, NY 10461",retail_&_shopping
